Markettype,date,equal_weighted_return,value_weighted_return
10,Feb-16,-0.089847,-0.079504
10,Mar-16,-0.068298,-0.079673
10,Apr-16,0.010362,-0.001571
5,Apr-16,0.028881,0.009149
15,Apr-16,0.028108,0.009086
21,Apr-16,0.03296,0.011426
31,Apr-16,0.032174,0.011356
37,Apr-16,0.028881,0.009149
47,Apr-16,0.028108,0.009086
53,Apr-16,0.03296,0.011426
63,Apr-16,0.032174,0.011356
53,May-16,-0.087952,-0.072768
63,May-16,-0.086155,-0.072554
47,May-16,-0.083526,-0.070129
37,May-16,-0.085583,-0.070352
31,May-16,-0.086155,-0.072554
21,May-16,-0.087952,-0.072768
15,May-16,-0.083526,-0.070129
5,May-16,-0.085583,-0.070352
10,May-16,-0.036049,-0.029835
10,Jun-16,0.026729,0.014692
5,Jun-16,0.045608,0.019427
15,Jun-16,0.044834,0.0194
21,Jun-16,0.047935,0.022856
31,Jun-16,0.047209,0.022813
37,Jun-16,0.045608,0.019427
47,Jun-16,0.044834,0.0194
63,Jun-16,0.047209,0.022813
53,Jun-16,0.047935,0.022856
53,Aug-16,0.069923,0.048425
47,Aug-16,0.065176,0.045373
63,Aug-16,0.068334,0.048301
37,Aug-16,0.066961,0.045494
31,Aug-16,0.068334,0.048301
21,Aug-16,0.069923,0.048425
15,Aug-16,0.065176,0.045373
5,Aug-16,0.066961,0.045494
10,Aug-16,0.023729,0.024134
10,Sep-16,-0.038057,-0.033609
5,Sep-16,-0.056033,-0.042909
15,Sep-16,-0.055289,-0.042857
21,Sep-16,-0.063351,-0.048807
31,Sep-16,-0.062479,-0.048731
37,Sep-16,-0.056033,-0.042909
47,Sep-16,-0.055289,-0.042857
63,Sep-16,-0.062479,-0.048731
53,Sep-16,-0.063351,-0.048807
53,Oct-16,-0.022608,0.015878
63,Oct-16,-0.021888,0.015769
47,Oct-16,-0.01066,0.02483
37,Oct-16,-0.011038,0.025005
31,Oct-16,-0.021888,0.015769
21,Oct-16,-0.022608,0.015878
15,Oct-16,-0.01066,0.02483
5,Oct-16,-0.011038,0.025005
10,Oct-16,-0.002039,-0.00441
10,Nov-16,-0.016366,-0.02985
5,Nov-16,-0.014776,-0.023148
15,Nov-16,-0.014841,-0.023183
21,Nov-16,-0.008424,-0.019662
31,Nov-16,-0.008695,-0.019712
37,Nov-16,-0.014776,-0.023148
47,Nov-16,-0.014841,-0.023183
63,Nov-16,-0.008695,-0.019712
53,Nov-16,-0.008424,-0.019662
63,Dec-16,0.103862,0.073799
53,Dec-16,0.105535,0.07389
47,Dec-16,0.09461,0.066791
37,Dec-16,0.096238,0.066853
31,Dec-16,0.103862,0.073799
21,Dec-16,0.105535,0.07389
15,Dec-16,0.09461,0.066791
5,Dec-16,0.096238,0.066853
10,Dec-16,0.056306,0.054964
5,2016-13,0.03151,0.015963
15,2016-13,0.030901,0.01595
21,2016-13,0.032518,0.017416
31,2016-13,0.031978,0.017398
37,2016-13,0.03151,0.015963
47,2016-13,0.030901,0.01595
53,2016-13,0.032518,0.017416
63,2016-13,0.031978,0.017398
63,2016-14,0.014693,0.010463
53,2016-14,0.01494,0.010488
47,2016-14,0.013909,0.010805
37,2016-14,0.014174,0.010834
31,2016-14,0.014693,0.010463
21,2016-14,0.01494,0.010488
15,2016-14,0.013909,0.010805
5,2016-14,0.014174,0.010834
5,2016-15,0.011097,-0.003753
15,2016-15,0.010553,-0.003752
21,2016-15,0.013357,-0.001541
31,2016-15,0.012827,-0.001551
37,2016-15,0.011097,-0.003753
47,2016-15,0.010553,-0.003752
53,2016-15,0.013357,-0.001541
63,2016-15,0.012827,-0.001551
63,2016-16,0.049009,0.034841
53,2016-16,0.050008,0.034899
47,2016-16,0.048185,0.03433
37,2016-16,0.049358,0.034392
31,2016-16,0.049009,0.034841
21,2016-16,0.050008,0.034899
15,2016-16,0.048185,0.03433
5,2016-16,0.049358,0.034392
5,2016-17,-0.058617,-0.04644
15,2016-17,-0.05752,-0.046374
21,2016-17,-0.062172,-0.049673
31,2016-17,-0.061134,-0.049597
37,2016-17,-0.058617,-0.04644
47,2016-17,-0.05752,-0.046374
53,2016-17,-0.062172,-0.049673
63,2016-17,-0.061134,-0.049597
63,2016-18,0.005463,-0.002208
53,2016-18,0.005736,-0.002219
47,2016-18,0.004025,-0.003338
37,2016-18,0.004293,-0.003357
31,2016-18,0.005463,-0.002208
21,2016-18,0.005736,-0.002219
15,2016-18,0.004025,-0.003338
5,2016-18,0.004293,-0.003357
5,2016-19,-0.004328,-0.00666
15,2016-19,-0.004587,-0.00671
21,2016-19,-0.001486,-0.005336
31,2016-19,-0.001796,-0.005387
37,2016-19,-0.004328,-0.00666
47,2016-19,-0.004587,-0.00671
53,2016-19,-0.001486,-0.005336
63,2016-19,-0.001796,-0.005387
63,2016-20,-0.060902,-0.039552
53,2016-20,-0.060956,-0.039472
47,2016-20,-0.059267,-0.036717
37,2016-20,-0.059265,-0.036614
21,2016-20,-0.060956,-0.039472
31,2016-20,-0.060902,-0.039552
15,2016-20,-0.059267,-0.036717
5,2016-20,-0.059265,-0.036614
5,2016-21,0.001533,0.001402
15,2016-21,0.000334,0.001203
31,2016-21,0.004418,0.003206
21,2016-21,0.005551,0.003396
37,2016-21,0.001533,0.001402
47,2016-21,0.000334,0.001203
53,2016-21,0.005551,0.003396
63,2016-21,0.004418,0.003206
63,2016-22,0.012808,0.002602
53,2016-22,0.01276,0.002566
37,2016-22,0.010031,0.000738
47,2016-22,0.010198,0.000788
5,2016-22,0.010031,0.000738
15,2016-22,0.010198,0.000788
21,2016-22,0.01276,0.002566
31,2016-22,0.012808,0.002602
37,2016-27,0.041423,0.033026
53,2016-27,0.043655,0.034389
47,2016-27,0.040943,0.033012
63,2016-27,0.043184,0.03437
21,2016-27,0.043655,0.034389
5,2016-27,0.041423,0.033026
15,2016-27,0.040943,0.033012
31,2016-27,0.043184,0.03437
5,2016-28,0.036536,0.025415
15,2016-28,0.03547,0.025335
21,2016-28,0.035131,0.024886
31,2016-28,0.034289,0.024817
37,2016-28,0.036536,0.025415
47,2016-28,0.03547,0.025335
63,2016-28,0.034289,0.024817
53,2016-28,0.035131,0.024886
10,2016-28,0.008686,0.009551
10,2016-29,0.010734,0.01384
5,2016-29,0.01793,0.022892
31,2016-29,0.014679,0.020469
21,2016-29,0.014811,0.020499
15,2016-29,0.017649,0.022846
53,2016-29,0.014811,0.020499
47,2016-29,0.017649,0.022846
37,2016-29,0.01793,0.022892
63,2016-29,0.014679,0.020469
47,2016-30,-0.005501,-0.011831
37,2016-30,-0.00599,-0.011911
53,2016-30,-0.005528,-0.011583
63,2016-30,-0.005136,-0.011514
15,2016-30,-0.005501,-0.011831
21,2016-30,-0.005528,-0.011583
31,2016-30,-0.005136,-0.011514
5,2016-30,-0.00599,-0.011911
10,2016-30,0.006644,0.003704
10,2016-31,-0.014592,-0.015258
5,2016-31,-0.034075,-0.019893
31,2016-31,-0.038643,-0.024601
21,2016-31,-0.039475,-0.024646
15,2016-31,-0.033292,-0.019868
53,2016-31,-0.039475,-0.024646
63,2016-31,-0.038643,-0.024601
37,2016-31,-0.034075,-0.019893
47,2016-31,-0.033292,-0.019868
37,2016-32,0.001967,-0.000203
47,2016-32,0.002046,-0.000165
53,2016-32,0.001969,-0.000245
63,2016-32,0.002035,-0.000211
15,2016-32,0.002046,-0.000165
21,2016-32,0.001969,-0.000245
31,2016-32,0.002035,-0.000211
5,2016-32,0.001967,-0.000203
10,2016-32,0.003951,0.007006
10,2016-33,0.007853,0.009352
5,2016-33,0.018044,0.024074
31,2016-33,0.017953,0.022859
21,2016-33,0.018296,0.022923
15,2016-33,0.01764,0.023996
63,2016-33,0.017953,0.022859
53,2016-33,0.018296,0.022923
47,2016-33,0.01764,0.023996
37,2016-33,0.018044,0.024074
47,2016-34,0.0383,0.026481
37,2016-34,0.039027,0.026524
53,2016-34,0.042344,0.028911
63,2016-34,0.041631,0.028861
15,2016-34,0.0383,0.026481
21,2016-34,0.042344,0.028911
31,2016-34,0.041631,0.028861
5,2016-34,0.039027,0.026524
10,2016-34,0.020737,0.018135
10,2016-35,-0.003722,-0.003961
5,2016-35,-0.007083,-0.012291
31,2016-35,-0.004317,-0.010806
21,2016-35,-0.004338,-0.010837
15,2016-35,-0.006949,-0.012248
63,2016-35,-0.004317,-0.010806
53,2016-35,-0.004338,-0.010837
47,2016-35,-0.006949,-0.012248
37,2016-35,-0.007083,-0.012291
37,2016-36,-0.002784,-0.00277
47,2016-36,-0.002754,-0.002748
53,2016-36,-0.002153,-0.003294
63,2016-36,-0.00215,-0.003272
15,2016-36,-0.002754,-0.002748
21,2016-36,-0.002153,-0.003294
31,2016-36,-0.00215,-0.003272
5,2016-36,-0.002784,-0.00277
10,2016-36,-0.00205,0.00149
10,2016-37,0.011053,0.013936
5,2016-37,0.021322,0.008111
31,2016-37,0.020919,0.008638
21,2016-37,0.021254,0.008613
15,2016-37,0.020915,0.008142
63,2016-37,0.020919,0.008638
53,2016-37,0.021254,0.008613
47,2016-37,0.020915,0.008142
37,2016-37,0.021322,0.008111
10,2016-38,-0.01008,-0.012007
10,2016-39,0.006065,0.009809
10,2016-13,0.016355,0.013357
10,2016-14,0.007609,0.005314
10,2016-15,-0.002302,-0.00362
10,2016-16,0.020347,0.022662
10,2016-17,-0.031691,-0.033798
10,2016-18,-0.002293,0.000041
10,2016-19,-0.010826,-0.016095
10,2016-20,-0.059323,-0.056323
10,2016-21,-0.028232,-0.034859
10,2016-22,0.014185,0.010268
10,2016-23,0.047036,0.046968
10,2016-24,-0.00104,0.00041
10,2016-25,-0.016342,-0.019333
10,2016-26,0.000561,-0.003845
10,2016-27,0.029109,0.030319
10,2016-40,-0.001083,0.002577
37,2016-40,-0.00678,-0.007896
47,2016-40,-0.006557,-0.007841
53,2016-40,-0.006364,-0.008032
63,2016-40,-0.006193,-0.007981
63,2016-42,0.034506,0.024073
53,2016-42,0.0355,0.024163
37,2016-42,0.032584,0.022708
47,2016-42,0.031494,0.022616
10,2016-42,0.004893,0.005386
31,2016-42,0.034506,0.024073
21,2016-42,0.0355,0.024163
21,2016-43,0.009681,0.007378
31,2016-43,0.008053,0.007154
10,2016-43,-0.039986,-0.039861
47,2016-43,0.006748,0.007563
37,2016-43,0.008678,0.007815
53,2016-43,0.009681,0.007378
63,2016-43,0.008053,0.007154
63,2016-44,0.005357,0.002856
53,2016-44,0.005187,0.002813
37,2016-44,0.004627,0.003321
47,2016-44,0.004856,0.003366
10,2016-44,0.010357,0.012479
31,2016-44,0.005357,0.002856
21,2016-44,0.005187,0.002813
21,2016-45,0.017416,0.007952
31,2016-45,0.016931,0.007926
10,2016-45,0.002611,0.002055
47,2016-45,0.015799,0.008273
37,2016-45,0.016344,0.008305
53,2016-45,0.017416,0.007952
63,2016-45,0.016931,0.007926
63,2016-46,0.028825,0.022577
53,2016-46,0.029097,0.022592
37,2016-46,0.029019,0.023251
47,2016-46,0.028692,0.023231
10,2016-46,0.020786,0.019207
31,2016-46,0.028825,0.022577
21,2016-46,0.029097,0.022592
5,2016-46,0.029019,0.023251
15,2016-46,0.028692,0.023231
15,2016-47,0.005276,0.00017
5,2016-47,0.005643,0.000221
31,2016-47,0.006736,0.00086
21,2016-47,0.007085,0.000909
10,2016-47,-0.003585,-0.010189
47,2016-47,0.005276,0.00017
37,2016-47,0.005643,0.000221
53,2016-47,0.007085,0.000909
63,2016-47,0.006736,0.00086
63,2016-48,0.009858,0.017275
53,2016-48,0.010228,0.017344
37,2016-48,0.008751,0.018158
47,2016-48,0.00836,0.018077
10,2016-48,-0.001063,0.001718
21,2016-48,0.010228,0.017344
31,2016-48,0.009858,0.017275
5,2016-48,0.008751,0.018158
15,2016-48,0.00836,0.018077
15,2016-49,-0.023867,-0.011104
5,2016-49,-0.02431,-0.011107
31,2016-49,-0.024951,-0.012682
21,2016-49,-0.025349,-0.012692
10,2016-49,-0.013267,-0.010387
47,2016-49,-0.023867,-0.011104
37,2016-49,-0.02431,-0.011107
53,2016-49,-0.025349,-0.012692
63,2016-49,-0.024951,-0.012682
63,2016-50,0.002353,-0.004605
53,2016-50,0.002365,-0.004646
37,2016-50,0.004115,-0.003715
47,2016-50,0.00403,-0.003673
10,2016-50,0.001988,0.004921
21,2016-50,0.002365,-0.004646
31,2016-50,0.002353,-0.004605
5,2016-50,0.004115,-0.003715
15,2016-50,0.00403,-0.003673
15,2016-51,-0.025582,-0.035008
5,2016-51,-0.026134,-0.035088
31,2016-51,-0.030179,-0.036707
21,2016-51,-0.030784,-0.036786
10,2016-51,-0.012081,-0.018537
47,2016-51,-0.025582,-0.035008
37,2016-51,-0.026134,-0.035088
53,2016-51,-0.030784,-0.036786
63,2016-51,-0.030179,-0.036707
63,2016-52,-0.003512,-0.006367
53,2016-52,-0.003299,-0.006339
47,2016-52,-0.00221,-0.005403
37,2016-52,-0.001896,-0.005367
10,2016-52,-0.009745,-0.012412
21,2016-52,-0.003299,-0.006339
31,2016-52,-0.003512,-0.006367
5,2016-52,-0.001896,-0.005367
15,2016-52,-0.00221,-0.005403
15,2016-53,0.003509,-0.00174
5,2016-53,0.003524,-0.001755
31,2016-53,0.004399,-0.001415
21,2016-53,0.004441,-0.001427
10,2016-53,0.003161,0.001203
47,2016-53,0.003509,-0.00174
37,2016-53,0.003524,-0.001755
53,2016-53,0.004441,-0.001427
63,2016-53,0.004399,-0.001415
63,Jan-17,0.016283,0.01429
53,Jan-17,0.016611,0.014333
47,Jan-17,0.017906,0.015527
37,Jan-17,0.018377,0.01558
15,Jan-17,0.017906,0.015527
21,Jan-17,0.016611,0.014333
31,Jan-17,0.016283,0.01429
10,Jan-17,0.006545,0.005126
5,Jan-17,0.018377,0.01558
5,Feb-17,-0.032801,-0.019939
10,Feb-17,-0.021139,-0.015405
31,Feb-17,-0.034596,-0.02264
21,Feb-17,-0.035047,-0.022672
15,Feb-17,-0.032339,-0.019917
37,Feb-17,-0.032801,-0.019939
47,Feb-17,-0.032339,-0.019917
53,Feb-17,-0.035047,-0.022672
63,Feb-17,-0.034596,-0.02264
63,Mar-17,-0.01734,-0.005217
63,Feb-16,-0.148328,-0.12537
63,Mar-16,-0.115754,-0.096835
53,Mar-17,-0.017416,-0.005184
53,Feb-16,-0.150439,-0.125596
53,Mar-16,-0.117466,-0.096925
37,Feb-16,-0.144784,-0.119717
47,Mar-17,-0.015958,-0.003358
47,Feb-16,-0.142479,-0.119498
47,Mar-16,-0.117974,-0.097053
37,Mar-17,-0.015996,-0.003311
37,Mar-16,-0.120143,-0.097153
15,Mar-17,-0.015958,-0.003358
21,Mar-17,-0.017416,-0.005184
31,Mar-17,-0.01734,-0.005217
10,Mar-17,-0.015046,-0.012497
5,Mar-17,-0.015996,-0.003311
5,Feb-16,-0.144784,-0.119717
5,Mar-16,-0.120143,-0.097153
21,Feb-16,-0.150439,-0.125596
21,Mar-16,-0.117466,-0.096925
15,Feb-16,-0.142479,-0.119498
15,Mar-16,-0.117974,-0.097053
31,Feb-16,-0.148328,-0.12537
31,Mar-16,-0.115754,-0.096835
5,Apr-17,0.018515,0.014718
10,Apr-17,0.009781,0.015342
31,Apr-17,0.019576,0.014853
21,Apr-17,0.019901,0.014851
15,Apr-17,0.018171,0.014721
37,Apr-17,0.018515,0.014718
47,Apr-17,0.018171,0.014721
53,Apr-17,0.019901,0.014851
63,Apr-17,0.019576,0.014853
63,May-17,-0.002674,-0.00532
53,May-17,-0.002529,-0.005298
47,May-17,-0.002449,-0.00537
37,May-17,-0.002261,-0.005347
15,May-17,-0.002449,-0.00537
21,May-17,-0.002529,-0.005298
31,May-17,-0.002674,-0.00532
10,May-17,-0.007069,-0.010201
5,May-17,-0.002261,-0.005347
10,Jun-17,0.010644,0.015379
5,Jun-17,0.032313,0.020967
15,Jun-17,0.031476,0.02094
31,Jun-17,0.032752,0.021201
21,Jun-17,0.033471,0.021226
37,Jun-17,0.032313,0.020967
47,Jun-17,0.031476,0.02094
53,Jun-17,0.033471,0.021226
63,Jun-17,0.032752,0.021201
63,Jul-17,0.001658,0.000369
53,Jul-17,0.001658,0.000326
47,Jul-17,0.001972,0.001231
37,Jul-17,0.001985,0.001188
21,Jul-17,0.001658,0.000326
31,Jul-17,0.001658,0.000369
15,Jul-17,0.001972,0.001231
5,Jul-17,0.001985,0.001188
10,Jul-17,0.001654,0.010112
10,Aug-17,0.012729,0.017134
5,Aug-17,0.027676,0.021601
15,Aug-17,0.027113,0.02158
31,Aug-17,0.031082,0.023155
21,Aug-17,0.031662,0.023181
37,Aug-17,0.027676,0.021601
47,Aug-17,0.027113,0.02158
53,Aug-17,0.031662,0.023181
63,Aug-17,0.031082,0.023155
63,Sep-17,0.000171,-0.005438
53,Sep-17,0.000193,-0.005464
47,Sep-17,-0.00252,-0.006526
37,Sep-17,-0.002598,-0.00656
21,Sep-17,0.000193,-0.005464
31,Sep-17,0.000171,-0.005438
15,Sep-17,-0.00252,-0.006526
5,Sep-17,-0.002598,-0.00656
10,Sep-17,-0.000532,0.000538
10,Oct-17,-0.005629,-0.005369
5,Oct-17,0.005169,0.000246
15,Oct-17,0.004758,0.000219
31,Oct-17,0.007773,0.001912
21,Oct-17,0.0082,0.001944
47,Oct-17,0.004758,0.000219
37,Oct-17,0.005169,0.000246
53,Oct-17,0.0082,0.001944
63,Oct-17,0.007773,0.001912
63,Nov-17,0.012925,0.008754
53,Nov-17,0.013163,0.008756
37,Nov-17,0.011599,0.008181
47,Nov-17,0.011365,0.008181
21,Nov-17,0.013163,0.008756
31,Nov-17,0.012925,0.008754
15,Nov-17,0.011365,0.008181
5,Nov-17,0.011599,0.008181
10,Nov-17,0.005422,0.008313
10,Dec-17,-0.018228,-0.012965
5,Dec-17,0.010602,0.010357
15,Dec-17,0.009513,0.010246
31,Dec-17,0.010738,0.010496
21,Dec-17,0.011656,0.010597
47,Dec-17,0.009513,0.010246
37,Dec-17,0.010602,0.010357
53,Dec-17,0.011656,0.010597
63,Dec-17,0.010738,0.010496
63,2017-13,-0.035182,-0.020945
53,2017-13,-0.03566,-0.020967
37,2017-13,-0.031572,-0.01807
47,2017-13,-0.031138,-0.01806
21,2017-13,-0.03566,-0.020967
31,2017-13,-0.035182,-0.020945
15,2017-13,-0.031138,-0.01806
5,2017-13,-0.031572,-0.01807
10,2017-13,-0.020152,-0.015901
10,2017-14,0.021301,0.020017
5,2017-14,0.026668,0.021939
15,2017-14,0.026465,0.02193
31,2017-14,0.026682,0.022058
21,2017-14,0.026852,0.022067
47,2017-14,0.026465,0.02193
37,2017-14,0.026668,0.021939
53,2017-14,0.026852,0.022067
63,2017-14,0.026682,0.022058
63,2017-15,-0.024426,-0.016046
53,2017-15,-0.024839,-0.016071
37,2017-15,-0.021256,-0.013463
47,2017-15,-0.020881,-0.013448
21,2017-15,-0.024839,-0.016071
31,2017-15,-0.024426,-0.016046
15,2017-15,-0.020881,-0.013448
5,2017-15,-0.021256,-0.013463
10,2017-15,-0.011228,-0.010222
10,2017-16,-0.014518,-0.011499
5,2017-16,-0.047962,-0.026306
15,2017-16,-0.046707,-0.026237
31,2017-16,-0.048393,-0.028138
21,2017-16,-0.049459,-0.028209
47,2017-16,-0.046707,-0.026237
37,2017-16,-0.047962,-0.026306
53,2017-16,-0.049459,-0.028209
63,2017-16,-0.048393,-0.028138
63,2017-17,-0.005273,-0.006098
53,2017-17,-0.004997,-0.006068
37,2017-17,-0.010351,-0.008052
47,2017-17,-0.01049,-0.008076
21,2017-17,-0.004997,-0.006068
31,2017-17,-0.005273,-0.006098
15,2017-17,-0.01049,-0.008076
5,2017-17,-0.010351,-0.008052
10,2017-17,-0.014046,-0.013062
10,2017-18,-0.013166,-0.018938
5,2017-18,-0.01783,-0.017728
15,2017-18,-0.017656,-0.017734
31,2017-18,-0.016431,-0.017534
21,2017-18,-0.016534,-0.017528
47,2017-18,-0.017656,-0.017734
37,2017-18,-0.01783,-0.017728
53,2017-18,-0.016534,-0.017528
63,2017-18,-0.016431,-0.017534
63,2017-19,-0.035929,-0.016106
53,2017-19,-0.036291,-0.016092
37,2017-19,-0.039198,-0.014702
47,2017-19,-0.038642,-0.014724
21,2017-19,-0.036291,-0.016092
31,2017-19,-0.035929,-0.016106
15,2017-19,-0.038642,-0.014724
5,2017-19,-0.039198,-0.014702
10,2017-19,-0.024399,-0.019305
10,2017-20,0.00884,0.011386
5,2017-20,0.021283,0.008827
15,2017-20,0.020816,0.008839
31,2017-20,0.023055,0.010276
21,2017-20,0.023504,0.010271
37,2017-20,0.021283,0.008827
47,2017-20,0.020816,0.008839
53,2017-20,0.023504,0.010271
63,2017-20,0.023055,0.010276
63,2016-24,0.004308,-0.000448
63,2017-21,-0.038934,-0.006308
63,2016-23,0.066719,0.053485
63,2016-25,-0.005204,-0.011755
53,2016-24,0.004491,-0.000452
53,2016-23,0.0674,0.053516
53,2016-25,-0.004821,-0.011719
47,2016-26,-0.004179,-0.005779
53,2016-26,0.000363,-0.003975
47,2016-24,0.003141,-0.000631
47,2016-25,-0.006383,-0.011796
53,2017-21,-0.03938,-0.006285
37,2016-24,0.003314,-0.000637
37,2016-23,0.062064,0.049994
37,2017-21,-0.036355,-0.002438
37,2016-25,-0.005969,-0.011756
37,2016-26,-0.004374,-0.005789
47,2016-23,0.061461,0.049978
47,2017-21,-0.035919,-0.002482
21,2017-21,-0.03938,-0.006285
31,2017-21,-0.038934,-0.006308
15,2017-21,-0.035919,-0.002482
5,2017-21,-0.036355,-0.002438
10,2017-21,-0.024705,-0.011684
31,2016-23,0.066719,0.053485
31,2016-24,0.004308,-0.000448
31,2016-25,-0.005204,-0.011755
31,2016-26,0.000369,-0.003975
21,2016-23,0.0674,0.053516
21,2016-24,0.004491,-0.000452
21,2016-25,-0.004821,-0.011719
21,2016-26,0.000363,-0.003975
15,2016-23,0.061461,0.049978
15,2016-24,0.003141,-0.000631
15,2016-25,-0.006383,-0.011796
15,2016-26,-0.004179,-0.005779
5,2016-23,0.062064,0.049994
5,2016-24,0.003314,-0.000637
5,2016-25,-0.005969,-0.011756
